lat,lon,name
50.87668,4.70639,French Poodle
50.876684,4.723722,Sun clock
50.87672,4.690317,clock mural
50.876734,4.705848,Stadspark Leuven
50.876849,4.700449,Heilige Geestcollege
50.876884,4.705213,Red Church
50.876888,4.692639,Standbeeld De Goede Herder.
50.876894,4.711265,St Jozefskerk Leuven
50.87692,4.708388,Bustes Notariaat
50.876939,4.68306,Boerke Nijs
50.876973,4.709993,Literaire tuin 1994
50.877067,4.709347,Man En Vrouw
50.87708,4.702746,"Unie, Gerard Holmens 1966"
50.877096,4.704671,Kattenpomp
50.8771,4.698136,Mosaik Trees
50.8772,4.693446,Petanque - Refugehof
50.877227,4.712505,Valk aan Tuin de Walque
50.877234,4.719732,Struikelstenen
50.877288,4.706367,Edouard Remy
50.877321,4.7017,Andre Dumont
50.877341,4.699048,Heilige Drievuldigheidscollege
50.877348,4.689787,Fish Statue in Kruidtuin Pool
50.877379,4.716968,Leuven provincieplein
50.877387,4.7104,Erasmushuis
50.877403,4.703941,Pavilion
50.877416,4.714267,Leuven Waterpartij in Binnentuin
50.877426,4.70879,De Witte
50.877427,4.706099,Fountain Hooverplein
50.877458,4.694149,Minderbroederspoort
50.877463,4.700848,Guinness Toucan
50.877479,4.694685,Justus Lipsiuscollege Sign
50.877511,4.690785,Old Spring
50.877569,4.695371,Collegium Sancti Petri
50.877589,4.701886,Het Centrum Van De Universiteit
50.877595,4.716449,De Ontvoering van Europa
50.877615,4.704068,Pedagogie De Valk
50.877642,4.708279,Het Is De Esdoorn
50.877702,4.692254,Huis Van Ophem
50.877707,4.691864,Architect L. Mispelter
50.877712,4.710034,Prunus
50.877731,4.704988,Minister President Of The Flemish Government
50.877736,4.720701,Twin Angels
50.877779,4.700681,Lakenhallen Naamsestraat
50.877796,4.715636,Hanging Man
50.877811,4.686125,Na Lyden Komt Verblyden
50.877888,4.709241,Bamboe
50.877897,4.708674,Erasmustuin 1979
50.877942,4.719158,Maria Met Kind
50.877973,4.704377,La Manchot
50.87802,4.713946,Leuven Waterval in Binnentuin
50.878046,4.725183,Groendienst Leuven
50.87806,4.690189,Old Greenhouse
50.878082,4.719719,Mural Girl
50.878087,4.689249,Kid With Teddybear
50.878108,4.699711,University Hall
50.878122,4.696558,Minderbroederklooster beeld.
50.878142,4.710949,Zittend Ventje
50.878179,4.702572,Luiks College Table
50.878209,4.706891,Leuven Ladeuzeplein centrale bibliotheek
50.878225,4.688946,Leuven Botanical Garden
50.878296,4.70195,Volksbank Van Leuven
50.878349,4.691801,Knight's Portal
50.878355,4.697715,Fit O City 12
50.878363,4.71458,Bird mural
50.878408,4.705655,Vrouwenhoofd
50.878436,4.703471,Sterntaler
50.878437,4.699697,De Kotmadam
50.878451,4.711316,Butterfly tree
50.878455,4.699112,Little Statuette of a Saint
50.87853,4.70087,Dekenij Van De Lakenwevers
50.878544,4.694671,waldorf claw
50.878583,4.684168,Basketbalveld Groefplein
50.878685,4.703033,Domus Wall Painting
50.87871,4.719027,Slide through the wall
50.878752,4.705072,Collegium S.Yvonis 1483
50.878758,4.68442,Vogelboom residentie groefstraat
50.878844,4.699332,Het Besloten Land Comic Shop
50.878902,4.695606,Maria
50.878919,4.688922,De Roelantsput historisch bord.
50.878941,4.703867,Musée Vanderkelen Mertens
50.878976,4.69605,Onze-Lieve-Vrouw-ten-Predikherenkerk
50.879017,4.704535,Stone Man
50.879061,4.700167,Au Petit Louvaniste
50.879079,4.691762,De Griffoenen poort
50.879099,4.712664,Maria Boven Deur
50.879129,4.710327,Boekentil Mussenstraat
50.879146,4.696368,Onze Lieve Vrouw En Jezus Standbeeld
50.879163,4.715297,Don't Mind Me
50.879207,4.684671,Speeltuin draaitollen Groefplein
50.879303,4.70227,Standbeeld Fonske
50.879349,4.702988,Kaart van stad Leuven
50.879363,4.690284,Octopus Mater Dei
50.879369,4.707507,streetart door Bisser
50.879373,4.701912,Leuven Bas-reliëf in de gevel
50.879399,4.705992,Blason Métropole De Suède
50.879459,4.694038,Half Tower
50.879489,4.718561,Playground Martelarenlaan
50.87949,4.689395,Sint Jacobspomp
50.879503,4.711933,Art Nouveau rooster
50.879537,4.705274,Leuven - 1920
50.879602,4.699801,Historical Mark 1921
50.87961,4.703782,Beauty Queen
50.879618,4.704811,Stadsschouwburg Leuven
50.879626,4.707137,De post Leuven Centrum
50.879634,4.689052,Mais amor por favor
50.879656,4.687232,Inhuldigingsbord woonwijk heuvelhof
50.879678,4.699095,Denon Wijnen
50.879682,4.685018,Boekentil Buurtcentrum Mannenstraat
50.879771,4.700647,Leuven - Sint Pieters Kerk
50.879825,4.691929,Leuven - Maria Boven Deur
50.879874,4.706397,Floraal Hoofd
50.879889,4.689137,Horengang historic plate
50.879999,4.698532,Leuven - Paep Toon
50.88001,4.707244,The Devil Is Watching
50.880012,4.693147,Brainstorm Graffiti Art
50.880023,4.703221,Leuven de Bakker
50.880117,4.690297,Maria En Jezus
50.880123,4.697084,Cultureel centrum Wagehuys
50.880162,4.69965,Flying Scissor
50.880172,4.691192,Fit-o-City 8 Lenigheid
50.880195,4.71858,"Trailmarkers big bang route, heuvelroute, vlaanderenroute en wandelroute"
50.880196,4.700962,Leuven - Old Postoffice
50.880232,4.703802,Bibliotheek Tweebronnen
50.880274,4.700447,Maria In Nis bij het Erasmus
50.880296,4.709942,Justo Lipsius Statue
50.880333,4.685292,Playground Van Waeyenberghplein
50.880376,4.710262,Glas In Lood Juste-Lipse
50.880419,4.68458,Basketbalveld - Van Waeyenbergpark
50.880465,4.714479,Wall Art
50.880555,4.706854,Anchor
50.880561,4.716048,Groene halte station leuven
50.880567,4.695397,Black House Graffiti
50.880579,4.705113,Gedenkplaat WOII
50.880596,4.694812,Handbooghof informatiebord
50.880623,4.689315,Houten Kruis - Sint Jacob
50.880666,4.7015,Monument Pieter Coutereel
50.880671,4.711385,Nicholson
50.880686,4.714921,"Trailmarkers 11, Heuvelroute en Vlaanderenroute"
50.88069,4.696292,Anker Portal
50.880723,4.685883,petanquebaan
50.880763,4.691001,Sint-Jacobuskerk
50.880796,4.708974,Statuette
50.880807,4.712225,Kinepolis Leuven
50.880821,4.702791,Streetart Daydreamer
50.880829,4.691447,Pater Damiaan
50.880829,4.713164,Head Over The Gate
50.880843,4.714189,Aux Mille Colonnes
50.880874,4.719389,Boekentil
50.880898,4.680422,Jezus standbeeld
